Tow,Date,Time,Month,Year,SamplingPeriod,Location,Habitat,Basin,Basin2,Latitude,Longitude,Preservative,Start Depth,End Depth,Average Depth,Tow Time,Fish Start,Fish End,Difference,Rotor Constant,Distance (m) (Difference x RC),Fish Diameter(m),Fish Dia Squared,pi,Fish Volume2,Water Temperature (oC),Temp Corrected,Source for Temp correction,EC,Salinity,EstSalinity,NTU,Secchi (cm),Warp Length (ft),Wire Angle (degrees),longfin_smelt,LFden,Pacific_herring,PHden,delta_smelt,American shad,arrow_goby,bay_pipefish,bigscale_logperch,bluegill,cheekspot_goby,Chinook_salmon,common_carp,fish_eggs,gobies,golden_shiner,inland_silverside,inland_silverside_eggs,jacksmelt,larval_postlarval_fish,longjaw_mudsucker,minnows_and_carps,No_eggs,no_fish,northern_anchovy,Pacific_staghorn_sculpin,prickly_sculpin,rainwater_killifish,Sample_Voided,shimofuri_goby,smelts,splittail,striped_bass,striped bass eggs,sunfishes,threadfin_shad,threespine_stickleback,tule_perch,wakasagi_smelt,white_croaker,yellowfin_goby,Mysid,Mysid Den,Comments,,,,,,,
185,5/4/2016,1:25:00 PM,5,2016,2,Honker Bay,Shoal,SB,SB,38.064579,-121.92537,,8,8.8,8.4,4.25,787404,794700,7296,26873,196.07,0.75,0.5625,3.14,86.5752183,13.03,,,4976,2.69,3,88,35,,,0,0,0,0,0,0,,,0,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,,0,0,4,0,0,1,0,0,1,0,9,,,,,,,,,,
196,5/5/2016,2:35:00 PM,5,2016,2,Broad sp.,Shoal,SB,SB,38.058528,-121.83938,,6.6,9.9,8.25,4.5,897331,901493,4162,26873,111.85,0.75,0.5625,3.14,49.3867953,13.03,,,1641,0.83,0.9,87.6,23,,,0,0,1,41.48103091,0,0,,,0,,,,0,0,77,0,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0,146,0,0,0,0,0,0,1,226,,,,,,,,,,
43,2/6/2017,1:19:00 PM,2,2017,1,Ryer Island,Tidal Marsh,SB,SB,38.086703,-122.022133,Formadahyde,7.2,,7.2,5,377233,379774,2541,26873,68.28,0.75,0.5625,3.14,30.15181328,9.3,9.3,SLS 501,250,0.12,0.1,35.1,28,na,na,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,20,0,,0,0,0,0,,0,,0,,0,0,0,0,0,,,,,,,,
209,5/18/2016,9:49:00 AM,5,2016,2,Mallard,Shoal,SB,SB,38.040748,-121.90111,,5.3,4.3,4.8,5,7597,10464,2867,26873,77.04,0.75,0.5625,3.14,34.0201687,14.95,,,957,0.47,0.5,29.9,40,,,0,0,0,0,0,0,,,0,,,,0,0,120,0,2,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,122,,,,,,,,,,
197,5/5/2016,3:03:00 PM,5,2016,2,Sherman Island,Tidal Slough ,SB,SB,38.046829,-121.82872,,4.8,8,6.4,5,901493,905339,3846,26873,103.35,0.75,0.5625,3.14,45.63710109,13.32,,,511,0.25,0.3,46.5,26,,,0,0,1,44.88924874,0,0,,,0,,,,0,0,62,0,0,0,0,3,0,1,0,0,0,0,0,,0,,0,0,64,0,0,0,0,0,0,1,132,,,,,,,,,,
188,5/4/2016,2:42:00 PM,5,2016,2,Brown,Tidal Marsh,SB,SB,38.038389,-121.86187,,11.7,12.7,12.2,5,805015,808904,3889,26873,104.51,0.75,0.5625,3.14,46.14734429,13.54,,,1532,0.77,0.9,43,30,,,0,0,0,0,0,0,,,0,,,,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,,0,,0,0,5,0,0,0,0,0,2,0,15,,,,,,,,,,
85,2/22/2016,2:31:00 PM,2,2016,1,ROE Island,Tidal Marsh,SB,SB,38.073731,-122.038267,,7.4,4.8,6.1,5,509268,513255,3987,26873,107.14,0.75,0.5625,3.14,47.31022414,8.89,,,7306,4.03,4.5,48.1,,,,2,42.27416032,51,2208.388911,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,0,,0,0,0,0,0,0,0,0,0,22,,,,,,,,,,,
17,1/15/2016,2:35:00 PM,1,2016,1,Galina,Tidal Marsh,SBP,San Pablo Bay,38.016056,-122.50412,,7,7.3,7.15,5,535784,542364,6580,26873,176.82,0.75,0.5625,3.14,78.07907571,9.54,,,26501,15.5,18.2,,,,,0,0,3440,90257.68,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
166,3/10/2017,12:12:00 PM,3,2017,1,Midwater,Channel Bottom,SBP,San Pablo Bay,38.019818,-122.383643,Formadahyde,40,,40,5,848298,854972,6674,26873,179.35,0.75,0.5625,3.14,79.19449108,12.25,12.25,Regression,,,,,,na,na,0,0,14,147.3684211,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,1,0,2,0,,0,0,0,0,,0,,0,,0,0,542,1,105.2631579,Bonus tow; isocline at 12ft; line trying to pass boat; boat speed is 2mph,,,,,,,
18,1/15/2016,2:53:00 PM,1,2016,1,Galina,Tidal Marsh,SBP,San Pablo Bay,38.019368,-122.52132,,5.8,5.4,5.6,5,542364,549457,7093,26873,190.61,0.75,0.5625,3.14,84.16639575,7.36,,,15318,9.749,10,,,,,0,0,4320,105149.0623,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
129,3/6/2017,12:20:00 PM,3,2017,1,Mallard Slough,Tidal Marsh,SB,SB,38.038293,-121.923587,Formadahyde,4.7,6.5,5.6,5,556053,563560,7507,26873,201.74,0.75,0.5625,3.14,89.07896981,11.3,11.3,SLS 508,222,0.11,0.1,21,30,na,na,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,17,0,,0,0,0,0,,0,,0,,0,0,0,1,112.2599422,,,,,,,,
22,1/25/2017,1:39:00 PM,1,2017,1,SanPablo OW,Shoal,SBP,San Pablo Bay,38.007072,-122.357812,Formadahyde,5.6,3.5,4.6,5,161219,169659,8440,26873,226.81,0.75,0.5625,3.14,100.1500606,8.35,8.35,Regression,6506,3.53,4,66.1,,na,na,0,0,514,5132.298442,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,0,0,,0,0,0,0,,0,,0,,0,0,6,0,0,shoal habitat,,,,,,,
25,1/25/2016,2:33:00 PM,1,2016,1,Ryer,Tidal Marsh,SB,SB,38.08488,-122.00985,,5.3,4.8,5.05,5,622643,632567,9924,26873,266.69,0.75,0.5625,3.14,117.7593841,6.98,,,,0.52,0,,,,,9,76.42703016,4,69.5864775,0,0,,,0,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,,0,,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,
,3/13/2017,9:56:00 AM,3,2017,1,Channel,Channel Surface,South Bay,South Bay,37.521202,-122.14034,,41.3,,,5,916565,929029,12464,26873,334.95,0.75,0.5625,3.14,147.8993313,15.54,,,14621,9.380520923,9.380520923,17.9,43,,,0,0,5,,0,0,55,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,279,,,,,,,,,,
40,1/27/2016,2:00:00 PM,1,2016,1,Galina,Tidal Marsh,SBP,San Pablo Bay,38.010662,-122.52742,,4.9,5.2,5.05,5,858030,866182,8152,26873,219.07,0.75,0.5625,3.14,74.96,8.05,,,17864,10.45,11.8,,,,,0,0,9312,197210.6722,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,32,,,,,,,,,,,
187,5/4/2016,2:17:00 PM,5,2016,2,Brown,Shoal,SB,SB,38.044804,-121.87474,,10,8.2,9.1,5.5,794700,805015,10315,26873,277.20,0.75,0.5625,3.14,122.3990374,13.21,,,3160,1.66,1.8,57.7,32,,,0,0,0,0,0,0,,,0,,,,0,0,4,0,2,0,0,0,0,0,0,0,0,1,0,,0,,0,0,3,0,0,0,1,0,1,0,12,,,,,,,,,,
23,1/25/2017,2:04:00 PM,1,2017,1,SanPablo OW,Channel Surface,SBP,San Pablo Bay,38.056075,-122.308903,Formadahyde,19.3,18.9,19.1,5.8,169659,178348,8689,26873,233.50,0.75,0.5625,3.14,103.1047247,8.35,8.35,Regression,2234,1.15,1.3,59.5,,na,na,2,19.39775316,462,4200,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,2,0,,0,0,0,0,,0,,0,,0,0,11,0,0,5 min 49 sec tow,,,,,,,
45,2/6/2017,2:11:00 PM,2,2017,1,Roe Island Marsh,Tidal Marsh,SB,SB,38.071043,-122.036542,Formadahyde,5.4,5.4,5.4,6.5,384379,384412,33,26873,0.89,0.75,0.5625,3.14,83.22,9.3,9.3,SLS 501,483,0.23,0.3,28,46,na,na,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,31,0,,0,0,0,0,,0,,0,,0,0,0,1,84.74576271,current did fishing (stationary tow),,,,,,,
186,5/4/2016,1:44:00 PM,5,2016,2,Chipps,Tidal Marsh,SB,SB,38.070111,-121.91293,,7.2,7.6,7.4,6.75,794700,799521,4821,26873,129.55,0.75,0.5625,3.14,57.206569,12.89,,,4638,2.5,2.8,127.3,18,,,0,0,0,0,0,0,,,0,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,,0,,0,0,2,0,0,0,0,0,1,0,8,,,,,,,,,,
112,3/8/2016,1:32:00 PM,3,2016,1,Ryer,Tidal Marsh,SB,SB,38.08833,-122.01917,,5.6,5.2,5.4,6.75,921395,930600,9205,26873,247.37,0.75,0.5625,3.14,109.2276431,9.79,,,6805,3.73,4.2,28.9,,,,0,0,8,150.043716,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,0,,0,0,0,0,0,0,0,0,0,13,,,,,,,,,,,
208,5/16/2016,2:15:00 PM,5,2016,2,Wheeler,Tidal Marsh,SB,SB,38.079562,-121.94756,,8.3,7.7,8,7,3638,7597,3959,26873,106.39,0.75,0.5625,3.14,46.97797276,14.87,,,3698,1.97,2.2,73.3,26,,,0,0,0,0,0,0,,,0,,,,0,0,1070,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,114,0,0,0,0,0,0,0,1184,,,,,,,,,,
172,4/19/2016,11:35:00 AM,4,2016,2,Mallard,Tidal Marsh,SB,SB,38.040463,-121.932894,,3,2.5,2.75,7,668931,677384,8453,26873,227.16,0.75,0.5625,3.14,100.3043202,13.51,,,450,0.22,0.2,18.1,63,,,0,0,0,0,0,0,,,0,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,,0,,0,0,5,0,0,0,0,0,2,0,21,,,,,,,,,,
24,1/25/2016,2:11:00 PM,1,2016,1,Ryer,Tidal Marsh,SB,SB,38.081806,-122.01405,,9.4,6.7,8.05,7,613311,622643,9332,26873,250.78,0.75,0.5625,3.14,110.7346405,6.81,,,,0.37,0,,,,,5,45.15298896,0,0,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,
217,4/4/2017,8:52:00 AM,4,2017,2,Channel,Channel Bottom,SB,SB,38.058777,-122.03815,Formadahyde,35.6,40.8,38.2,7,43096,52669,9573,26873,257.26,0.75,0.5625,3.14,113.5943756,14.55,14.55,Regression,145.9,0.07,0.1,12.8,,65,26,0,0,0,0,0,,0,,1,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,6,0,,0,0,1,0,,0,,0,,0,0,0,11,968.3578031,,,,,,,,
14,1/24/2017,2:45:00 PM,1,2017,1,Suisun Marsh,Tidal Marsh,SB,SB,38.123755,-122.09057,Formadahyde,10.3,6.8,8.6,7,24884,34560,9676,26873,260.02,0.75,0.5625,3.14,114.8165861,9.1,9.1,SLS 606,2528,1.3,1.5,97.5,15,na,na,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,97,0,,0,0,0,0,,0,,0,,0,0,0,109,9493.401929,7 min tow,,,,,,,
35,2/6/2017,9:25:00 AM,2,2017,1,Mallard Shoal,Shoal,SB,SB,38.04308,-121.951518,Formadahyde,8.4,12.2,10.3,7,305711,315683,9972,26873,267.98,0.75,0.5625,3.14,118.3289579,9.6,9.6,SLS 508,227,0.11,0.1,15.8,43,na,na,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,6,0,,0,0,0,0,,0,,0,,0,0,0,0,0,,,,,,,,
26,1/25/2016,3:08:00 PM,1,2016,1,Grizzly Bay,Shoal,SB,SB,38.112622,-121.98816,,6,3.4,4.7,7,632567,642929,10362,26873,278.46,0.75,0.5625,3.14,122.9567451,7.71,,,,0.9,0,,,,,25,203.3235345,152,2532.512614,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
8,1/12/2016,4:24:00 PM,1,2016,1,Grizzly Bay,Shoal ,SB,SB,38.097588,-122.01933,,8.4,8.8,8.6,7,417794,429011,11217,26873,301.43,0.75,0.5625,3.14,133.1022785,5.04,,,15770,9.15,10.3,,,,,0,0,52,800.3468517,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
193,3/23/2017,10:14:00 AM,3,2017,1,Hamilton,Tidal Marsh,SBP,San Pablo Bay,38.055048,-122.49151,Formadahyde,9,9.4,9.2,7,493622,505179,11557,26873,310.57,0.75,0.5625,3.14,137.1367596,14.78,14.78,Regression,8369,,5.2,29.1,32,,,0,0,64,466.6874162,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,2,0,,0,0,0,0,,0,,1,,0,0,2,1,72.91990878,,,,,,,,
210,4/3/2017,12:44:00 PM,4,2017,2,Wheeler marsh,Tidal Marsh,SB,SB,38.073893,-121.942965,Formadahyde,8.4,9.8,9.1,7,937338,949250,11912,26873,320.11,0.75,0.5625,3.14,141.3492325,15.6,15.6,Regression,159,0.08,0.1,15.1,42,,,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,20,0,,0,0,0,0,,0,,1,,0,0,0,4,282.9870336,,,,,,,,
101,2/23/2017,11:27:00 AM,2,2017,1,Sonoma Marsh,Tidal Marsh,SBP,San Pablo Bay,38.169605,-122.409057,Formadahyde,13.2,13.8,13.5,7,120679,132662,11983,26873,322.02,0.75,0.5625,3.14,142.1917271,11.67,11.67,Regression,530,0.25,0.3,57.9,15.5,na,na,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,86,0,,0,0,0,0,,0,,4,,0,0,4,0,0,,,,,,,,
2,1/12/2016,12:50:00 PM,1,2016,1,No name,Shoal,SB,SB,38.042488,-122.10338,,4,4.5,4.25,7,322118,334156,12038,26873,323.50,0.75,0.5625,3.14,142.8443637,5.04,,,20607,12.1,13.8,15.9,,,,0,0,514,7371.576844,0,0,,,0,,,,0,0,0,0,0,0,0,6,0,0,0,0,2,0,1,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
192,3/23/2017,9:21:00 AM,3,2017,1,Sonoma Baylands,Tidal Marsh,SBP,San Pablo Bay,38.117518,-122.48347,Formadahyde,4.9,10,7.5,7,469605,481765,12160,26873,326.78,0.75,0.5625,3.14,144.2920305,15,15,Regression,8092,,5,35.3,27,,,1,6.930389687,56,388.1018224,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,2,0,,0,0,0,0,,0,,2,,0,0,0,11,762.3428655,Stickleback,,,,,,,
200,3/23/2017,2:50:00 PM,3,2017,1,Carquinez Straight,Channel Bottom,WSB,SB,38.052705,-122.306438,Formadahyde,38.7,37,37.9,7,640532,652900,12368,26873,332.37,0.75,0.5625,3.14,146.7601836,13.34,13.34,Regression,28931,,20,32.8,,55,24,3,20.44151162,5,34.06918605,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,2,0,4,0,,0,0,0,0,,1,,0,,0,1,13,352,23984.70698,Tow failed 3 times because kept hitting bottom; 4th tow may nmpow have been very,,,,,,,
155,3/9/2017,11:17:00 AM,3,2017,1,Sonoma Baylands,Tidal Marsh,SBP,San Pablo Bay,38.116975,-122.483812,Formadahyde,6,8,7,7,632774,645213,12439,26873,334.27,0.75,0.5625,3.14,147.6026782,14.61,14.61,Regression,2558,,1.5,112.7,13,na,na,45,304.8725168,121,819.7683231,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,10,0,,0,0,0,0,,0,,0,,0,0,27,1,67.74944819,"caught a salmon, put on ice",,,,,,,
21,1/25/2016,12:56:00 PM,1,2016,1,ROE Island,Shoal,SB,SB,38.074769,-122.04086,,7.5,,7.5,7,568261,587902,19641,26873,527.81,0.75,0.5625,3.14,233.0624812,6.5,,,621,0.3,0.3,,,,,3,12.87208471,2,17.57996544,0,0,,,0,,,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200,5/16/2016,10:11:00 AM,5,2016,2,Middle ground,Shoal,SB,SB,38.051275,-121.98533,,8.6,14.5,11.55,7,916018,918097,2079,26873,55.87,0.75,0.5625,3.14,131.03,13.7,,,3503,1.85,2.1,42.5,39,,,0,0,3,249.1256144,0,0,,,0,,,,0,0,6,0,1,0,0,23,0,0,0,0,0,0,0,,0,,0,0,101,0,0,0,0,0,0,0,134,,,,,,,,,,
28,1/26/2017,12:12:00 PM,1,2017,1,Sonoma Baylands,Tidal Marsh,SBP,San Pablo Bay,38.109005,-122.490163,Formadahyde,4.8,6.1,5.5,7.5,215075,221323,6248,26873,167.90,0.75,0.5625,3.14,131.03,8.35,8.35,Regression,1602,0.81,0.9,159.5,16,na,na,0,0,949,6730.496454,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,40,0,,0,0,0,0,,0,,0,,0,0,43,14,992.9078014,cannot read zoop numbers well; zoop numbers are wrong; tows 24-28 zoo start are ,,,,,,,
39,1/27/2016,12:57:00 PM,1,2016,1,Novato HamiltonMarsh,Tidal Marsh,SBP,San Pablo Bay,38.088281,-122.5157,,6.8,7.4,7.1,7.5,848534,858030,9496,26873,255.19,0.75,0.5625,3.14,112.6806843,8.42,,,2740,1.4,1.6,,10.16,,,0,0,302,5490.575327,0,0,,,0,,,,0,0,0,0,0,0,0,18,0,0,0,0,0,0,26,,0,,0,0,0,0,0,0,0,0,0,24,,,,,,,,,,,
75,2/11/2016,2:41:00 PM,2,2016,1,Mallard Sp.,Tidal Marsh,SB,SB,38.043106,-121.92813,,4.6,3.5,4.05,7.65,350082,362018,11936,26873,320.76,0.75,0.5625,3.14,141.6340194,7.43,,,669,0.33,0.4,51.6,,,,20,141.2090124,27,390.5319511,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,,0,,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,
10,1/24/2017,12:43:00 PM,1,2017,1,Ryer Island,Tidal Marsh,SB,SB,38.074938,-122.007252,Formadahyde,4.2,6.7,5.5,8,991353,998074,6721,26873,180.61,0.75,0.5625,3.14,129.49,8.9,8.9,SLS 501,234,0.11,0.1,63.8,21,na,na,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,13,0,,0,0,0,0,,0,,0,,0,0,0,0,0,8 min tow,,,,,,,
52,2/8/2017,9:42:00 AM,2,2017,1,SanPablo OW,Channel Bottom,SBP,San Pablo Bay,38.042058,-122.316892,Formadahyde,38.8,,38.8,8,462228,468971,6743,26873,181.20,0.75,0.5625,3.14,129.49,10.75,10.75,Regression,13650,8.8,8.8,38.6,,na,na,0,0,367,2184.52381,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,0,0,,0,0,0,0,,0,,0,,0,0,9,864,51428.57143,,,,,,,,
195,5/5/2016,1:08:00 PM,5,2016,2,Ryer,Tidal Marsh,SB,SB,38.079981,-122.01198,,4.9,3.1,4,8,880019,891632,11613,26873,312.08,0.75,0.5625,3.14,137.8012623,12.55,,,8997,5.07,5.6,46.4,31,,,0,0,0,0,0,0,,,0,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,
77,2/11/2016,3:33:00 PM,2,2016,1,Sherman Island,Tidal Marsh,SB,SB,38.046729,-121.8247,,6.7,8,7.35,8,376795,389370,12575,26873,337.93,0.75,0.5625,3.14,149.2164707,7.18,,,373,0.18,0.2,46.2,,,,0,0,4,54.91659664,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
72,2/10/2017,1:47:00 PM,2,2017,1,Petaluma River,Tidal Marsh,SBP,San Pablo Bay,38.134908,-122.518635,Formadahyde,6.6,14.7,10.7,8,712013,724622,12609,26873,338.84,0.75,0.5625,3.14,149.6199188,10.75,10.75,Regression,4206,2.07,2.5,124.9,15,na,na,1,6.683602077,794,5306.780049,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,10,0,,0,0,0,0,,0,,0,,0,0,113,54,3609.145121,,,,,,,,
76,2/11/2016,3:06:00 PM,2,2016,1,Broad Slough,Shoal,SB,SB,38.054181,-121.86326,,6,2.7,4.35,8,362018,375040,13022,26873,349.94,0.75,0.5625,3.14,154.5206267,6.57,,,428,0.21,0.2,62.4,,,,11,71.18790696,6,79.54725112,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,,0,,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,
124,3/21/2016,9:56:00 AM,3,2016,1,No name,Tidal Marsh,SB,SB,38.036104,-122.110618,,5.2,6,5.6,8,78417,91524,13107,26873,352.22,0.75,0.5625,3.14,155.529247,9.3,,,569,0.27,0.3,67.9,,,,0,0,0,0,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
